Date;Country;RegionName;HospitalizedPatients;IntensiveCarePatients;TotalHospitalizedPatients;HomeConfinement;CurrentPositiveCases;NewPositiveCases;Recovered;Deaths;TotalPositiveCases
02/03/2020 18:00;ITA;Abruzzo;3;0;3;2;5;0;0;0;5
02/03/2020 18:00;ITA;Basilicata;0;0;0;0;0;0;0;0;0
02/03/2020 18:00;ITA;Calabria;0;0;0;1;1;0;0;0;1
02/03/2020 18:00;ITA;Campania;4;0;4;13;17;0;0;0;17
02/03/2020 18:00;ITA;Emilia-Romagna;148;16;164;160;324;50;0;11;335
02/03/2020 18:00;ITA;Friuli Venezia Giulia;0;0;0;9;9;3;0;0;9
02/03/2020 18:00;ITA;Lazio;3;0;3;1;4;1;3;0;7
02/03/2020 18:00;ITA;Liguria;12;1;13;5;18;-3;4;0;22
02/03/2020 18:00;ITA;Lombardia;478;127;605;472;1077;270;139;38;1254
02/03/2020 18:00;ITA;Marche;17;6;23;11;34;10;0;1;35
02/03/2020 18:00;ITA;Molise;0;0;0;0;0;0;0;0;0
02/03/2020 18:00;ITA;Piemonte;12;2;14;37;51;2;0;0;51
02/03/2020 18:00;ITA;Puglia;2;0;2;2;4;1;0;0;4
02/03/2020 18:00;ITA;Sardegna;0;0;0;0;0;0;0;0;0
02/03/2020 18:00;ITA;Sicilia;2;0;2;3;5;-2;2;0;7
02/03/2020 18:00;ITA;Toscana;7;0;7;5;12;0;1;0;13
02/03/2020 18:00;ITA;Umbria;0;0;0;2;2;0;0;0;2
02/03/2020 18:00;ITA;Valle d'Aosta;0;0;0;0;0;0;0;0;0
02/03/2020 18:00;ITA;Veneto;53;14;67;204;271;10;0;2;273
02/03/2020 18:00;ITA;Trentino Alto Adige;1;0;1;0;1;0;0;0;1
03/03/2020 18:00;ITA;Abruzzo;5;0;5;1;6;1;0;0;6
03/03/2020 18:00;ITA;Basilicata;0;0;0;1;1;1;0;0;1
03/03/2020 18:00;ITA;Calabria;0;0;0;1;1;0;0;0;1
03/03/2020 18:00;ITA;Campania;11;0;11;19;30;13;0;0;30
03/03/2020 18:00;ITA;Emilia-Romagna;187;24;211;187;398;85;4;18;420
03/03/2020 18:00;ITA;Friuli Venezia Giulia;1;0;1;12;13;4;0;0;13
03/03/2020 18:00;ITA;Lazio;10;0;10;1;11;7;3;0;14
03/03/2020 18:00;ITA;Liguria;12;2;14;5;19;2;4;1;24
03/03/2020 18:00;ITA;Lombardia;698;167;865;461;1326;266;139;55;1520
03/03/2020 18:00;ITA;Marche;27;13;40;19;59;26;0;2;61
03/03/2020 18:00;ITA;Molise;3;0;3;0;3;3;0;0;3
03/03/2020 18:00;ITA;Piemonte;13;3;16;40;56;5;0;0;56
03/03/2020 18:00;ITA;Puglia;2;0;2;4;6;2;0;0;6
03/03/2020 18:00;ITA;Sardegna;1;0;1;0;1;1;0;0;1
03/03/2020 18:00;ITA;Sicilia;2;0;2;3;5;0;2;0;7
03/03/2020 18:00;ITA;Toscana;10;0;10;8;18;6;1;0;19
03/03/2020 18:00;ITA;Umbria;1;1;2;6;8;6;0;0;8
03/03/2020 18:00;ITA;Valle d'Aosta;0;0;0;0;0;0;0;0;0
03/03/2020 18:00;ITA;Veneto;49;19;68;229;297;34;7;3;307
03/03/2020 18:00;ITA;Trentino Alto Adige;2;0;2;3;5;4;0;0;5
04/03/2020 17:00;ITA;Abruzzo;7;0;7;0;7;1;0;0;7
04/03/2020 17:00;ITA;Basilicata;0;0;0;1;1;0;0;0;1
04/03/2020 17:00;ITA;Calabria;0;0;0;1;1;0;0;0;1
04/03/2020 17:00;ITA;Campania;11;0;11;20;31;1;0;0;31
04/03/2020 17:00;ITA;Emilia-Romagna;256;26;282;234;516;124;6;22;544
04/03/2020 17:00;ITA;Friuli Venezia Giulia;3;0;3;15;18;5;0;0;18
04/03/2020 17:00;ITA;Lazio;15;3;18;9;27;16;3;0;30
04/03/2020 17:00;ITA;Liguria;10;3;13;8;21;2;4;1;26
04/03/2020 17:00;ITA;Lombardia;877;209;1086;411;1497;300;250;73;1820
04/03/2020 17:00;ITA;Marche;34;15;49;31;80;23;0;4;84
04/03/2020 17:00;ITA;Molise;3;0;3;0;3;0;0;0;3
04/03/2020 17:00;ITA;Piemonte;26;13;39;43;82;26;0;0;82
04/03/2020 17:00;ITA;Puglia;4;0;4;3;7;3;1;1;9
04/03/2020 17:00;ITA;Sardegna;1;0;1;1;2;1;0;0;2
04/03/2020 17:00;ITA;Sicilia;5;0;5;11;16;11;2;0;18
04/03/2020 17:00;ITA;Toscana;15;2;17;20;37;19;1;0;38
04/03/2020 17:00;ITA;Umbria;1;1;2;7;9;1;0;0;9
04/03/2020 17:00;ITA;Valle d'Aosta;0;0;0;0;0;0;0;0;0
04/03/2020 17:00;ITA;Veneto;76;23;99;246;345;53;9;6;360
04/03/2020 17:00;ITA;Trentino Alto Adige;2;0;2;4;6;1;0;0;6
05/03/2020 17:00;ITA;Abruzzo;8;0;8;0;8;1;0;0;8
05/03/2020 17:00;ITA;Basilicata;0;0;0;1;1;0;0;0;1
05/03/2020 17:00;ITA;Calabria;1;0;1;1;2;1;0;0;2
05/03/2020 17:00;ITA;Campania;12;0;12;33;45;14;0;0;45
05/03/2020 17:00;ITA;Emilia-Romagna;327;32;359;299;658;154;10;30;698
05/03/2020 17:00;ITA;Friuli Venezia Giulia;4;0;4;17;21;3;0;0;21
05/03/2020 17:00;ITA;Lazio;20;7;27;14;41;14;3;0;44
05/03/2020 17:00;ITA;Liguria;11;3;14;7;21;2;4;3;28
05/03/2020 17:00;ITA;Lombardia;1169;244;1413;364;1777;431;376;98;2251
05/03/2020 17:00;ITA;Marche;57;19;76;44;120;40;0;4;124
