Date;Country;RegionName;HospitalizedPatients;IntensiveCarePatients;TotalHospitalizedPatients;HomeConfinement;CurrentPositiveCases;NewPositiveCases;Recovered;Deaths;TotalPositiveCases;Ripartizioni geografiche;;;;;
05/03/2020 17:00;ITA;Sardegna;2;0;2;0;2;0;0;0;2;Isole;;;;;
05/03/2020 17:00;ITA;Sicilia;5;0;5;11;16;0;2;0;18;Isole;;;;;
05/03/2020 17:00;ITA;Toscana;26;3;29;31;60;23;1;0;61;Centro;;;;;
05/03/2020 17:00;ITA;Umbria;1;1;2;7;9;0;0;0;9;Centro;;;;;
05/03/2020 17:00;ITA;Valle d'Aosta;0;0;0;2;2;2;0;0;2;Nord-ovest;;;;;
05/03/2020 17:00;ITA;Veneto;92;24;116;264;380;47;17;10;407;Nord-est;;;;;
06/03/2020 17:00;ITA;Abruzzo;9;0;9;0;9;1;0;0;9;Sud;;;;;
06/03/2020 17:00;ITA;Basilicata;1;0;1;2;3;2;0;0;3;Sud;;;;;
06/03/2020 17:00;ITA;Calabria;2;0;2;2;4;2;0;0;4;Sud;;;;;
06/03/2020 17:00;ITA;Campania;12;0;12;45;57;12;0;0;57;Sud;;;;;
06/03/2020 17:00;ITA;Emilia-Romagna;397;53;450;366;816;172;17;37;870;Nord-est;;;;;
06/03/2020 17:00;ITA;Friuli Venezia Giulia;4;0;4;24;28;10;3;0;31;Nord-est;;;;;
06/03/2020 17:00;ITA;Lazio;26;8;34;16;50;10;3;1;54;Centro;;;;;
06/03/2020 17:00;ITA;Liguria;12;5;17;7;24;4;5;3;32;Nord-ovest;;;;;
06/03/2020 17:00;ITA;Lombardia;1622;309;1931;77;2008;361;469;135;2612;Nord-ovest;;;;;
06/03/2020 17:00;ITA;Marche;73;20;93;62;155;35;0;4;159;Centro;;;;;
06/03/2020 17:00;ITA;Molise;3;2;5;7;12;5;0;0;12;Sud;;;;;
06/03/2020 17:00;ITA;Trentino Alto Adige;4;0;4;0;4;3;0;0;4;Nord-est;;;;;
06/03/2020 17:00;ITA;Trentino Alto Adige;4;0;4;6;10;3;0;0;10;Nord-est;;;;;
06/03/2020 17:00;ITA;Piemonte;57;30;87;52;139;35;0;4;143;Nord-ovest;;;;;
06/03/2020 17:00;ITA;Puglia;5;1;6;9;15;3;1;1;17;Sud;;;;;
06/03/2020 17:00;ITA;Sardegna;2;0;2;3;5;3;0;0;5;Isole;;;;;
06/03/2020 17:00;ITA;Sicilia;7;0;7;15;22;6;2;0;24;Isole;;;;;
06/03/2020 17:00;ITA;Toscana;35;5;40;38;78;18;1;0;79;Centro;;;;;
06/03/2020 17:00;ITA;Umbria;2;2;4;12;16;7;0;0;16;Centro;;;;;
06/03/2020 17:00;ITA;Valle d'Aosta;0;0;0;7;7;5;0;0;7;Nord-ovest;;;;;
06/03/2020 17:00;ITA;Veneto;117;27;144;310;454;81;22;12;488;Nord-est;;;;;
07/03/2020 18:00;ITA;Abruzzo;11;0;11;0;11;2;0;0;11;Sud;;;;;
07/03/2020 18:00;ITA;Basilicata;1;0;1;2;3;0;0;0;3;Sud;;;;;
07/03/2020 18:00;ITA;Calabria;2;0;2;2;4;0;0;0;4;Sud;;;;;
07/03/2020 18:00;ITA;Campania;16;0;16;45;61;4;0;0;61;Sud;;;;;
07/03/2020 18:00;ITA;Emilia-Romagna;464;64;528;409;937;140;25;48;1010;Nord-est;;;;;
07/03/2020 18:00;ITA;Friuli Venezia Giulia;7;1;8;31;39;11;3;0;42;Nord-est;;;;;
07/03/2020 18:00;ITA;Lazio;43;8;51;21;72;22;3;1;76;Centro;;;;;
07/03/2020 18:00;ITA;Liguria;26;6;32;10;42;19;5;4;51;Nord-ovest;;;;;
07/03/2020 18:00;ITA;Lombardia;1661;359;2020;722;2742;808;524;154;3420;Nord-ovest;;;;;
07/03/2020 18:00;ITA;Marche;94;36;130;71;201;48;0;6;207;Centro;;;;;
07/03/2020 18:00;ITA;Molise;3;2;5;9;14;2;0;0;14;Sud;;;;;
07/03/2020 18:00;ITA;Trentino Alto Adige;8;0;8;1;9;5;0;0;9;Nord-est;;;;;
07/03/2020 18:00;ITA;Trentino Alto Adige;6;1;7;7;14;4;0;0;14;Nord-est;;;;;
07/03/2020 18:00;ITA;Piemonte;110;38;148;54;202;64;0;5;207;Nord-ovest;;;;;
07/03/2020 18:00;ITA;Puglia;9;2;11;12;23;9;1;2;26;Sud;;;;;
07/03/2020 18:00;ITA;Sardegna;2;0;2;3;5;0;0;0;5;Isole;;;;;
07/03/2020 18:00;ITA;Sicilia;8;0;8;25;33;11;2;0;35;Isole;;;;;
07/03/2020 18:00;ITA;Toscana;54;7;61;51;112;34;1;0;113;Centro;;;;;
07/03/2020 18:00;ITA;Umbria;2;2;4;20;24;8;0;0;24;Centro;;;;;
